Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications,cl_cat,cl_res,cl_mq,cl_pq,Combined_Description
Google,Google Cloud Program Manager,Program Management,Singapore,"Shape, shepherd, ship, and show technical programs designed to support the work of Cloud Customer Engineers and Solutions Architects.
Measure and report on key metrics tied to those programs to identify any need to change course, cancel, or scale the programs from a regional to global platform.
Communicate status and identify any obstacles and paths for resolution to stakeholders, including those in senior roles, in a transparent, regular, professional and timely manner.
Establish expectations and rationale on deliverables for stakeholders and program contributors.
Provide program performance feedback to teams in Product, Engineering, Sales, and Marketing (among others) to enable efficient cross-team operations.","BA/BS degree or equivalent practical experience.
3 years of experience in program and/or project management in cloud computing, enterprise software and/or marketing technologies.","Experience in the business technology market as a program manager in SaaS, cloud computing, and/or emerging technologies.
Significant cross-functional experience across engineering, sales, and marketing teams in cloud computing or related technical fields.
Proven successful program outcomes from idea to launch in multiple contexts throughout your career.
Ability to manage the expectations, demands and priorities of multiple internal stakeholders based on overarching vision and success for global team health.
Ability to work under pressure and possess flexibility with changing needs and direction in a rapidly-growing organization.
Strong organization and communication skills.",program management,"shape   shepherd   ship   technical programs designed support work cloud customer engineers solutions architects 
 measure report key metrics tied programs identify need change course   cancel   scale programs regional global platform 
 communicate status identify obstacles paths resolution stakeholders   including senior roles   transparent   regular   professional timely manner 
 establish expectations rationale deliverables stakeholders program contributors 
 provide program performance feedback teams product   engineering   sales   marketing     enable efficient cross team operations","ba bs degree equivalent practical experience 
 3 years experience program project management cloud computing   enterprise software marketing technologies","experience business technology market program manager saas   cloud computing   emerging technologies 
 significant cross functional experience engineering   sales   marketing teams cloud computing related technical fields 
 proven successful program outcomes idea launch multiple contexts career 
 ability manage expectations   demands priorities multiple internal stakeholders based overarching vision success global team health 
 ability work pressure possess flexibility changing needs direction rapidly growing organization 
 strong organization communication skills","program management shape   shepherd   ship   technical programs designed support work cloud customer engineers solutions architects 
 measure report key metrics tied programs identify need change course   cancel   scale programs regional global platform 
 communicate status identify obstacles paths resolution stakeholders   including senior roles   transparent   regular   professional timely manner 
 establish expectations rationale deliverables stakeholders program contributors 
 provide program performance feedback teams product   engineering   sales   marketing     enable efficient cross team operations ba bs degree equivalent practical experience 
 3 years experience program project management cloud computing   enterprise software marketing technologies experience business technology market program manager saas   cloud computing   emerging technologies 
 significant cross functional experience engineering   sales   marketing teams cloud computing related technical fields 
 proven successful program outcomes idea launch multiple contexts career 
 ability manage expectations   demands priorities multiple internal stakeholders based overarching vision success global team health 
 ability work pressure possess flexibility changing needs direction rapidly growing organization 
 strong organization communication skills"
Google,"Data Analyst, Product and Tools Operations, Google Technical Services",Technical Solutions,"New York, NY, United States","Collect and analyze data to draw insight and identify strategic solutions.
Build consensus by facilitating broad collaboration with clear communication and documentation.
Work with cross-functional stakeholders to gather requirements, manage implementation, and drive delivery of projects.","Bachelor’s degree in Business, Economics, Statistics, Operations Research or related analytical field, or equivalent practical experience.
2 years of work experience in business analysis.
1 year of experience with statistical modeling, forecasting or machine learning. Experience with R, SAS or Python.
1 year of experience developing and manipulating large datasets.","Experience partnering or consulting cross-functionally with senior stakeholders.
Proficiency in a database query language (e.g. SQL).
Ability to manage multiple projects in an ambiguous environment.
Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to non-experts.",technical solutions,"collect analyze data draw insight identify strategic solutions 
 build consensus facilitating broad collaboration clear communication documentation 
 work cross functional stakeholders gather requirements   manage implementation   drive delivery projects","bachelor s degree business   economics   statistics   operations research related analytical field   equivalent practical experience 
 2 years work experience business analysis 
 1 year experience statistical modeling   forecasting machine learning   experience r   sas python 
 1 year experience developing manipulating large datasets","experience partnering consulting cross functionally senior stakeholders 
 proficiency database query language   e g   sql  
 ability manage multiple projects ambiguous environment 
 strong presentation communication skills ability communicate statistical concepts explain recommendations non experts","technical solutions collect analyze data draw insight identify strategic solutions 
 build consensus facilitating broad collaboration clear communication documentation 
 work cross functional stakeholders gather requirements   manage implementation   drive delivery projects bachelor s degree business   economics   statistics   operations research related analytical field   equivalent practical experience 
 2 years work experience business analysis 
 1 year experience statistical modeling   forecasting machine learning   experience r   sas python 
 1 year experience developing manipulating large datasets experience partnering consulting cross functionally senior stakeholders 
 proficiency database query language   e g   sql  
 ability manage multiple projects ambiguous environment 
 strong presentation communication skills ability communicate statistical concepts explain recommendations non experts"
Google,"Program Manager, Audio Visual (AV) Deployments",Program Management,"Sunnyvale, CA, United States","Plan requirements with internal customers.
Provide portfolio reports and forecasts to Regional Service Delivery Manager. Manage vendor PM services to usher projects through the entire lifecycle.
Plan finances and tracking across a portfolio of projects.
Ensure that any changes in scope, schedule or cost are managed in accordance with the agreed change order procedures. Interface with cross functional stakeholders to understand and communicate program strategy and priorities.
Ensure project closure processes are completed - including handover to support. Help to validate new and improve existing products by partnering with AV Eng teams. Set operational goals and lead ongoing process and program improvement initiatives.","BA/BS degree or equivalent practical experience.
4 years of experience managing large scale Global AV Deployments.
Experience managing vendors to deliver defined projects.
Experience in Audio/Visual and Video Conferencing design, system integration and resolution.","CTS Certification.
Experience in the construction sector.
Experience with project management software and reporting tools.
Ability to understand technical subjects and emerging technologies and their relevance to the marketplace.
Business management and consulting skills.
Excellent interpersonal and relationship building skills across multiple stakeholders at varying levels.",program management,"plan requirements internal customers 
 provide portfolio reports forecasts regional service delivery manager   manage vendor pm services usher projects entire lifecycle 
 plan finances tracking portfolio projects 
 ensure changes scope   schedule cost managed accordance agreed change order procedures   interface cross functional stakeholders understand communicate program strategy priorities 
 ensure project closure processes completed    including handover support   help validate new improve existing products partnering av eng teams   set operational goals lead ongoing process program improvement initiatives","ba bs degree equivalent practical experience 
 4 years experience managing large scale global av deployments 
 experience managing vendors deliver defined projects 
 experience audio visual video conferencing design   system integration resolution","cts certification 
 experience construction sector 
 experience project management software reporting tools 
 ability understand technical subjects emerging technologies relevance marketplace 
 business management consulting skills 
 excellent interpersonal relationship building skills multiple stakeholders varying levels","program management plan requirements internal customers 
 provide portfolio reports forecasts regional service delivery manager   manage vendor pm services usher projects entire lifecycle 
 plan finances tracking portfolio projects 
 ensure changes scope   schedule cost managed accordance agreed change order procedures   interface cross functional stakeholders understand communicate program strategy priorities 
 ensure project closure processes completed    including handover support   help validate new improve existing products partnering av eng teams   set operational goals lead ongoing process program improvement initiatives ba bs degree equivalent practical experience 
 4 years experience managing large scale global av deployments 
 experience managing vendors deliver defined projects 
 experience audio visual video conferencing design   system integration resolution cts certification 
 experience construction sector 
 experience project management software reporting tools 
 ability understand technical subjects emerging technologies relevance marketplace 
 business management consulting skills 
 excellent interpersonal relationship building skills multiple stakeholders varying levels"
Google,"Associate Account Strategist (Czech/Slovak), Global Customer Experience",Technical Solutions,"Dublin, Ireland","Communicate with customers via phone and email.
Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products.
Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions.
Work towards strategic goals, while prioritizing and delivering an outstanding customer experience to Google's advertisers.","Bachelor's degree or equivalent practical experience.
Ability to speak and write in English and Czech and/or Slovak fluently and idiomatically.","Experience in sales, customer service, account management, marketing or consulting.
Experience in managing and customizing experience to a specific customer base.
Experience with leading, motivating and working effectively within a team.
Demonstrated ability to multi-task and to manage multiple projects while working in a fast-paced environment.
Ability to work towards strategic goals.
Effective organizational skills, with the ability to work independently and proactively.",technical solutions,"communicate customers phone email 
 provide strategic advice consultation help advertisers best experience advertising products 
 implement creative ways improve customer relationships   tailor share online marketing strategy suggestions 
 work strategic goals   prioritizing delivering outstanding customer experience google s advertisers","bachelor s degree equivalent practical experience 
 ability speak write english czech slovak fluently idiomatically","experience sales   customer service   account management   marketing consulting 
 experience managing customizing experience specific customer base 
 experience leading   motivating working effectively team 
 demonstrated ability multi task manage multiple projects working fast paced environment 
 ability work strategic goals 
 effective organizational skills   ability work independently proactively","technical solutions communicate customers phone email 
 provide strategic advice consultation help advertisers best experience advertising products 
 implement creative ways improve customer relationships   tailor share online marketing strategy suggestions 
 work strategic goals   prioritizing delivering outstanding customer experience google s advertisers bachelor s degree equivalent practical experience 
 ability speak write english czech slovak fluently idiomatically experience sales   customer service   account management   marketing consulting 
 experience managing customizing experience specific customer base 
 experience leading   motivating working effectively team 
 demonstrated ability multi task manage multiple projects working fast paced environment 
 ability work strategic goals 
 effective organizational skills   ability work independently proactively"
Google,"Strategic Technology Partner Manager, Healthcare and Life Sciences",Partnerships,"Sunnyvale, CA, United States","Lead the development and strategy with partners for healthcare and life sciences. Build relationships with our partners and focus on long term, mutually beneficial solutions.
Engage with Product Management, Sales and Engineering teams to align product directions with our external partners.
Work with peer teams to establish partner strategy and priorities that will determine recruiting and partner development focus. Be responsible for recruiting, developing and supporting strategic technology partnerships and the partner ecosystem.
Help partners leverage Google's technology to enhance their own offerings, integrate with them to fill gaps in and extend our product portfolio.
Be the point of contact for partners around key areas (Operations, Financial, Sales, Training, Product Enhancement, etc.) and drive new partnerships, support integration of new products to existing partners, and ensure the prompt and proper resolution of daily business challenges.","BA/BS degree or equivalent practical experience.
5 years of experience in Partner Management and/or Business Development.
Experience working with public cloud solutions across Software-as-a-Service (SaaS), Platform-as-a-Service (PaaS) and Infrastructure-as-a-Service (IaaS) markets.
Experience working with technology solutions for the healthcare industry. Experience within internal and customer-facing roles.","BA/BS degree in a technical, life sciences or engineering field or equivalent practical experience.
5 years of experience working with a variety of technology systems, designing solutions, or developing applications in healthcare and/or life sciences.
8 years of experience in Partnership Management and Strategy/Business Development.
Background in Software Engineering and/or Product Management.
Experience managing and growing relationships with cross-functional teams internally and externally.
Demonstrated ability to plan and manage at a strategic and operational level, and to launch new products in the marketplace.",partnerships,"lead development strategy partners healthcare life sciences   build relationships partners focus long term   mutually beneficial solutions 
 engage product management   sales engineering teams align product directions external partners 
 work peer teams establish partner strategy priorities determine recruiting partner development focus   responsible recruiting   developing supporting strategic technology partnerships partner ecosystem 
 help partners leverage google s technology enhance offerings   integrate fill gaps extend product portfolio 
 point contact partners key areas   operations   financial   sales   training   product enhancement   etc    drive new partnerships   support integration new products existing partners   ensure prompt proper resolution daily business challenges","ba bs degree equivalent practical experience 
 5 years experience partner management business development 
 experience working public cloud solutions software service   saas    platform service   paas   infrastructure service   iaas   markets 
 experience working technology solutions healthcare industry   experience internal customer facing roles","ba bs degree technical   life sciences engineering field equivalent practical experience 
 5 years experience working variety technology systems   designing solutions   developing applications healthcare life sciences 
 8 years experience partnership management strategy business development 
 background software engineering product management 
 experience managing growing relationships cross functional teams internally externally 
 demonstrated ability plan manage strategic operational level   launch new products marketplace","partnerships lead development strategy partners healthcare life sciences   build relationships partners focus long term   mutually beneficial solutions 
 engage product management   sales engineering teams align product directions external partners 
 work peer teams establish partner strategy priorities determine recruiting partner development focus   responsible recruiting   developing supporting strategic technology partnerships partner ecosystem 
 help partners leverage google s technology enhance offerings   integrate fill gaps extend product portfolio 
 point contact partners key areas   operations   financial   sales   training   product enhancement   etc    drive new partnerships   support integration new products existing partners   ensure prompt proper resolution daily business challenges ba bs degree equivalent practical experience 
 5 years experience partner management business development 
 experience working public cloud solutions software service   saas    platform service   paas   infrastructure service   iaas   markets 
 experience working technology solutions healthcare industry   experience internal customer facing roles ba bs degree technical   life sciences engineering field equivalent practical experience 
 5 years experience working variety technology systems   designing solutions   developing applications healthcare life sciences 
 8 years experience partnership management strategy business development 
 background software engineering product management 
 experience managing growing relationships cross functional teams internally externally 
 demonstrated ability plan manage strategic operational level   launch new products marketplace"
Google,"Manufacturing Business Manager, Google Hardware",Manufacturing & Supply Chain,"Xinyi District, Taiwan","Develop CM/ODM strategy and implement supplier management processes with critical partners.
Lead the creation and implementation of RFX processes for sourcing needs.
Manage the agreement creation process with the cross-functional program needs in mind.
Manage assigned manufacturing partner to program requirements in cost, quality, schedule and technology areas.
Perform periodic cost improvement ideas in terms of DFM or alternative technology choices.","BA/BS degree in Engineering, Supply Chain or equivalent practical experience.
5 years of related Contract Manufacturing or Business Operations experience.
Experience leading/managing Contract Manufacturers and Original Design Manufacturers.
Experience with finance and analytics, cost modeling and negotiation experience.","MBA degree.
Experience in procurement and supply chain.
Ability to establish impactful partnerships, interpret legal documents and work with the Legal team to complete agreements.
Fluency in Mandarin and familiarity with international business customs.
Willingness to travel in Asia 25% of the time and for extended periods as required.",manufacturing    supply chain,"develop cm odm strategy implement supplier management processes critical partners 
 lead creation implementation rfx processes sourcing needs 
 manage agreement creation process cross functional program needs mind 
 manage assigned manufacturing partner program requirements cost   quality   schedule technology areas 
 perform periodic cost improvement ideas terms dfm alternative technology choices","ba bs degree engineering   supply chain equivalent practical experience 
 5 years related contract manufacturing business operations experience 
 experience leading managing contract manufacturers original design manufacturers 
 experience finance analytics   cost modeling negotiation experience","mba degree 
 experience procurement supply chain 
 ability establish impactful partnerships   interpret legal documents work legal team complete agreements 
 fluency mandarin familiarity international business customs 
 willingness travel asia 25   time extended periods required","manufacturing    supply chain develop cm odm strategy implement supplier management processes critical partners 
 lead creation implementation rfx processes sourcing needs 
 manage agreement creation process cross functional program needs mind 
 manage assigned manufacturing partner program requirements cost   quality   schedule technology areas 
 perform periodic cost improvement ideas terms dfm alternative technology choices ba bs degree engineering   supply chain equivalent practical experience 
 5 years related contract manufacturing business operations experience 
 experience leading managing contract manufacturers original design manufacturers 
 experience finance analytics   cost modeling negotiation experience mba degree 
 experience procurement supply chain 
 ability establish impactful partnerships   interpret legal documents work legal team complete agreements 
 fluency mandarin familiarity international business customs 
 willingness travel asia 25   time extended periods required"
Google,"Data Analyst, Consumer Hardware",Product & Customer Support,"Mountain View, CA, United States","Build and maintain the Support Operations Analytics infrastructure.
Customize and maintain tools to provide insights and visibility into key strategic and operational performance of the organization.
Define and action analysis on operational data sets to provide strategic recommendations to multiple levels of leadership; package analysis for reports and presentations to shape strategic and operational decisions.
Draw insights from analyzing data to improve Support Operations quality and efficiency.
Contribute to strategic planning around product launches.","BA/BS degree in Computer Science, Engineering, Economics, Business or a related degree, or equivalent practical experience.
4 years of experience in an Analytical role such as Business Intelligence, Data Analytics, Statistical or Consulting.
4 years of experience with SQL or visualization tools such as Tableau.","Experience in designing and executing structured analysis, deriving business insights, and evaluating the impact of business decisions.
Experience working with and developing for non-technical users (defining requirements, explaining technical concepts to non-technical business users, etc).
Experience with scripting languages and business intelligence tools.
Demonstrated ability to analyze complex data-sets in a fast-paced environment, with the ability to work strategically and objectively.
Ability to deal with and prioritize multiple priorities while driving towards pragmatic decisions.
Excellent oral and written communication skills, with the ability to communicate findings in a structured and clear manner to a non-technical audience.",product    customer support,"build maintain support operations analytics infrastructure 
 customize maintain tools provide insights visibility key strategic operational performance organization 
 define action analysis operational data sets provide strategic recommendations multiple levels leadership   package analysis reports presentations shape strategic operational decisions 
 draw insights analyzing data improve support operations quality efficiency 
 contribute strategic planning product launches","ba bs degree computer science   engineering   economics   business related degree   equivalent practical experience 
 4 years experience analytical role business intelligence   data analytics   statistical consulting 
 4 years experience sql visualization tools tableau","experience designing executing structured analysis   deriving business insights   evaluating impact business decisions 
 experience working developing non technical users   defining requirements   explaining technical concepts non technical business users   etc  
 experience scripting languages business intelligence tools 
 demonstrated ability analyze complex data sets fast paced environment   ability work strategically objectively 
 ability deal prioritize multiple priorities driving pragmatic decisions 
 excellent oral written communication skills   ability communicate findings structured clear manner non technical audience","product    customer support build maintain support operations analytics infrastructure 
 customize maintain tools provide insights visibility key strategic operational performance organization 
 define action analysis operational data sets provide strategic recommendations multiple levels leadership   package analysis reports presentations shape strategic operational decisions 
 draw insights analyzing data improve support operations quality efficiency 
 contribute strategic planning product launches ba bs degree computer science   engineering   economics   business related degree   equivalent practical experience 
 4 years experience analytical role business intelligence   data analytics   statistical consulting 
 4 years experience sql visualization tools tableau experience designing executing structured analysis   deriving business insights   evaluating impact business decisions 
 experience working developing non technical users   defining requirements   explaining technical concepts non technical business users   etc  
 experience scripting languages business intelligence tools 
 demonstrated ability analyze complex data sets fast paced environment   ability work strategically objectively 
 ability deal prioritize multiple priorities driving pragmatic decisions 
 excellent oral written communication skills   ability communicate findings structured clear manner non technical audience"
Google,"Associate Account Strategist (Ukrainian), GMS Sales",Technical Solutions,"Dublin, Ireland","Implement creative ways to improve our customer relationships, tailor and share online marketing strategy suggestions, and promote other Google products.
Communicate with customers proactively, via phone and email.
Provide strategic advice and help our advertisers get the best experience from their investment by working with them in a consultative role.
Deliver consistently against strategic goals while prioritizing and delivering an outstanding customer sales experience to Google's advertisers.","Bachelor's degree or equivalent practical experience.
Experience or internship experience in sales, customer support, account management, marketing or consulting.
Ability to speak and write in English and Ukrainian fluently and idiomatically.","Experience in leading, motivating and working well with others. Demonstrated bias to teamwork.
Demonstrated record in managing and customizing experience to a customer base.
Ability to multi-task and manage multiple projects at a time while paying attention to detail.
Interest in working toward strategic goals.
Proactive, independent worker who is highly organized and interested in the difference they can make through their individual contribution.",technical solutions,"implement creative ways improve customer relationships   tailor share online marketing strategy suggestions   promote google products 
 communicate customers proactively   phone email 
 provide strategic advice help advertisers best experience investment working consultative role 
 deliver consistently strategic goals prioritizing delivering outstanding customer sales experience google s advertisers","bachelor s degree equivalent practical experience 
 experience internship experience sales   customer support   account management   marketing consulting 
 ability speak write english ukrainian fluently idiomatically","experience leading   motivating working   demonstrated bias teamwork 
 demonstrated record managing customizing experience customer base 
 ability multi task manage multiple projects time paying attention detail 
 interest working strategic goals 
 proactive   independent worker highly organized interested difference individual contribution","technical solutions implement creative ways improve customer relationships   tailor share online marketing strategy suggestions   promote google products 
 communicate customers proactively   phone email 
 provide strategic advice help advertisers best experience investment working consultative role 
 deliver consistently strategic goals prioritizing delivering outstanding customer sales experience google s advertisers bachelor s degree equivalent practical experience 
 experience internship experience sales   customer support   account management   marketing consulting 
 ability speak write english ukrainian fluently idiomatically experience leading   motivating working   demonstrated bias teamwork 
 demonstrated record managing customizing experience customer base 
 ability multi task manage multiple projects time paying attention detail 
 interest working strategic goals 
 proactive   independent worker highly organized interested difference individual contribution"
Google,"Survey Lead, Google Cloud Support",Product & Customer Support,"New York, NY, United States","Develop and track core metrics across all Google Cloud products, including overall satisfaction, customer effort, net promoter score (NPS), partner satisfaction, etc.
Build and maintain reports, dashboards and metrics to monitor the performance of the program
Apply quantitative analysis, data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists)
Provide insights that influence and drive actions/improvements across the customer journey
Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches","BA/BS degree in a technical or quantitative/business-oriented field or equivalent practical experience.
5 years of experience in market research or survey analytics, working across multiple functional support and operational areas. Experience leading and delivering customer initiatives, including blending survey data with customer insights and measuring success using customer satisfaction metrics.
Experience writing SQL queries and working with statistical analysis in SPSS, R, Python and/or Tableau.
Experience with data analysis, principles of experiment design, survey design and analysis, clickstream analysis and qualitative research.","MBA, MS or PhD degree in a related or quantitative field.
Experience in a multi-channel client/customer support environment (e.g., email, phone, chat, social), and passion to drive collaboration and deliver executive-level presentations.
Capability to think strategically, balancing a broad range of internal and external factors when identifying problems, proposing solutions, and making decisions
Passion for technology and an ability to identify new opportunities, drive collaboration and deliver high-quality, complex projects across teams.
Demonstrated ability to build strong relationships at all levels as a cross-functional influencer.
Ability to consistently deliver quality outputs in a high paced and dynamic environment, work through ambiguity, with an ability to work to tight deadlines.",product    customer support,"develop track core metrics google cloud products   including overall satisfaction   customer effort   net promoter score   nps    partner satisfaction   etc 
 build maintain reports   dashboards metrics monitor performance program 
 apply quantitative analysis   data mining data presentation provide meaningful business insights stakeholders   support data scientists 
 provide insights influence drive actions improvements customer journey 
 demonstrate ability manage risks operational level ensure smooth execution survey launches","ba bs degree technical quantitative business oriented field equivalent practical experience 
 5 years experience market research survey analytics   working multiple functional support operational areas   experience leading delivering customer initiatives   including blending survey data customer insights measuring success customer satisfaction metrics 
 experience writing sql queries working statistical analysis spss   r   python tableau 
 experience data analysis   principles experiment design   survey design analysis   clickstream analysis qualitative research","mba   ms phd degree related quantitative field 
 experience multi channel client customer support environment   e g    email   phone   chat   social    passion drive collaboration deliver executive level presentations 
 capability think strategically   balancing broad range internal external factors identifying problems   proposing solutions   making decisions 
 passion technology ability identify new opportunities   drive collaboration deliver high quality   complex projects teams 
 demonstrated ability build strong relationships levels cross functional influencer 
 ability consistently deliver quality outputs high paced dynamic environment   work ambiguity   ability work tight deadlines","product    customer support develop track core metrics google cloud products   including overall satisfaction   customer effort   net promoter score   nps    partner satisfaction   etc 
 build maintain reports   dashboards metrics monitor performance program 
 apply quantitative analysis   data mining data presentation provide meaningful business insights stakeholders   support data scientists 
 provide insights influence drive actions improvements customer journey 
 demonstrate ability manage risks operational level ensure smooth execution survey launches ba bs degree technical quantitative business oriented field equivalent practical experience 
 5 years experience market research survey analytics   working multiple functional support operational areas   experience leading delivering customer initiatives   including blending survey data customer insights measuring success customer satisfaction metrics 
 experience writing sql queries working statistical analysis spss   r   python tableau 
 experience data analysis   principles experiment design   survey design analysis   clickstream analysis qualitative research mba   ms phd degree related quantitative field 
 experience multi channel client customer support environment   e g    email   phone   chat   social    passion drive collaboration deliver executive level presentations 
 capability think strategically   balancing broad range internal external factors identifying problems   proposing solutions   making decisions 
 passion technology ability identify new opportunities   drive collaboration deliver high quality   complex projects teams 
 demonstrated ability build strong relationships levels cross functional influencer 
 ability consistently deliver quality outputs high paced dynamic environment   work ambiguity   ability work tight deadlines"
Google,"Solution Architect, Google Cloud Platform (Apigee)",Technical Solutions,"Amsterdam, Netherlands","Produce required design specifications, provide technical leadership and architectural mentorship and help customers build quality technical solutions/implementations with on-premises, cloud and hybrid cloud-based Apigee solution.
Work closely with geographically distributed Apigee and Customer project teams to align the technical requirements and the solution design with the customer's business drivers and in order to demonstrate our value.
Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers.
Travel up to 50% of the time.","BA/BS degree in a technical or engineering field or equivalent practical experience.
Programming experience in one or more of the following: Java, Python, JavaScript, NodeJS, C#, NET, Ruby.
Ability to speak and write in English and German or French fluently and idiomatically.","Experience with or deep understanding of private, public and hybrid cloud design considerations and limitations in the areas of virtualization and global infrastructure, distributed systems, load balancing and networking, and security.
Experience in architecting and/or implementing API based solutions with sound hands-on familiarity with related standards such as HTTP, REST, SOAP and OAuth.
Ability to communicate effectively and influence stakeholders in internal and external engineering teams, product development teams, sales operations teams as well as external Google partners and end consumers.
Excellent presentation, verbal and written communication skills.",technical solutions,"produce required design specifications   provide technical leadership architectural mentorship help customers build quality technical solutions implementations premises   cloud hybrid cloud based apigee solution 
 work closely geographically distributed apigee customer project teams align technical requirements solution design customer s business drivers order demonstrate value 
 act liaison engineering product teams commercialize solutions partners customers 
 travel 50   time","ba bs degree technical engineering field equivalent practical experience 
 programming experience following   java   python   javascript   nodejs   c    net   ruby 
 ability speak write english german french fluently idiomatically","experience deep understanding private   public hybrid cloud design considerations limitations areas virtualization global infrastructure   distributed systems   load balancing networking   security 
 experience architecting implementing api based solutions sound hands familiarity related standards http   rest   soap oauth 
 ability communicate effectively influence stakeholders internal external engineering teams   product development teams   sales operations teams external google partners end consumers 
 excellent presentation   verbal written communication skills","technical solutions produce required design specifications   provide technical leadership architectural mentorship help customers build quality technical solutions implementations premises   cloud hybrid cloud based apigee solution 
 work closely geographically distributed apigee customer project teams align technical requirements solution design customer s business drivers order demonstrate value 
 act liaison engineering product teams commercialize solutions partners customers 
 travel 50   time ba bs degree technical engineering field equivalent practical experience 
 programming experience following   java   python   javascript   nodejs   c    net   ruby 
 ability speak write english german french fluently idiomatically experience deep understanding private   public hybrid cloud design considerations limitations areas virtualization global infrastructure   distributed systems   load balancing networking   security 
 experience architecting implementing api based solutions sound hands familiarity related standards http   rest   soap oauth 
 ability communicate effectively influence stakeholders internal external engineering teams   product development teams   sales operations teams external google partners end consumers 
 excellent presentation   verbal written communication skills"
